Code_commune_INSEE,Nom_commune,Code_postal
10102,COLOMBE LA FOSSE,10200
10104,CORMOST,10800
10106,COURCEROY,10400
10109,COURTENOT,10260
10116,CRESANTIGNES,10320
10119,CUNFIN,10360
10131,DROUPT ST BASLE,10170
10136,EGUILLY SOUS BOIS,10110
10153,FONTAINE MACON,10400
10154,FONTENAY DE BOSSERY,10400
10155,FONTETTE,10360
10159,FRALIGNES,10110
10167,GRANDVILLE,10700
10168,LES GRANGES,10210
10170,GYE SUR SEINE,10250
10176,JAUCOURT,10200
10177,JAVERNANT,10320
10185,LAGESSE,10210
10188,LANTAGES,10210
10192,LENTILLES,10330
10193,LESMONT,10500
10201,LA LOGE POMBLIN,10210
10211,MACEY,10300
10213,MAGNANT,10110
10214,MAGNICOURT,10240
10215,MAGNY FOUCHARD,10140
10216,MAILLY LE CAMP,10230
10223,MARCILLY LE HAYER,10290
10228,MATHAUX,10500
10230,MERGEY,10600
10232,MERREY SUR ARCE,10110
10239,MESNIL SELLIERES,10220
10245,MONTAULIN,10270
10262,NEUVILLE SUR SEINE,10250
10265,LES NOES PRES TROYES,10420
10268,NOGENT SUR SEINE,10400
10274,ORVILLIERS ST JULIEN,10170
10284,PERIGNY LA ROSE,10400
10285,PERTHES LES BRIENNE,10500
10290,PLANTY,10160
10300,POUGY,10240
10306,PROVERVILLE,10200
10315,RANCES,10500
10318,RIGNY LA NONNEUSE,10290
10319,RIGNY LE FERRON,10160
10320,RILLY STE SYRE,10280
10323,ROMILLY SUR SEINE,10100
10326,ROSNAY L HOPITAL,10500
10329,ROUILLY ST LOUP,10800
10329,ROUILLY ST LOUP,10800
10332,RUVIGNY,10410
10336,ST BENOIT SUR SEINE,10180
10339,ST FLAVY,10350
10340,ST GERMAIN,10120
10346,ST LEGER SOUS MARGERIE,10330
10353,ST MESMIN,10280
10356,ST OULPH,10170
10367,LA SAULSOTTE,10400
10368,SAVIERES,10600
10369,SEMOINE,10700
10379,TORCY LE GRAND,10700
10383,TRANCAULT,10290
10391,VAILLY,10150
